UID,sex,race,MarriageStatus,DateOfBirth,age,juv_fel_count,decile_score,juv_misd_count,juv_other_count,priors_count,days_b_screening_arrest,c_days_from_compas,c_charge_degree,is_recid,is_violent_recid,v_decile_score,priors_count.1,start,end,event,two_year_recid,Violence_rawscore,Recidivism_rawscore,age_inv,age_bin,age_bucket,race_bin,rand
72,0,3,1,10/11/88,27,0,7,0,0,0.026315789,0.252209381,0.004638904,1,1,1,8,0.026315789,0,0.217537943,1,1,0.616906475,0.626865672,73,0,0,1,0.287125406
3168,0,3,2,4/29/87,28,0,2,0,0,0.052631579,0.280761387,0.00010543,1,1,1,3,0.052631579,0.009605123,0.306070826,1,1,0.399280576,0.42217484,72,0,0,1,0.361075055
659,0,2,1,6/4/79,36,0,5,0.076923077,0,0.105263158,0.280761387,0.00010543,0,0,0,2,0.105263158,0.001067236,0.774873524,0,0,0.307553957,0.592750533,64,1,1,0,0.874842729
1369,1,3,1,12/26/88,27,0,3,0,0,0.157894737,0.280761387,0.00010543,1,1,0,3,0.157894737,0,0.142495784,1,1,0.386690647,0.390191898,73,0,0,1,0.538645106
1259,0,2,2,4/28/72,43,0,3,0,0,0.052631579,0.280761387,0.00010543,1,0,0,1,0.052631579,0.005336179,0.378583474,0,0,0.226618705,0.452025586,57,1,1,0,0.691107757
170,0,3,7,12/31/59,56,0,1,0,0,0,0.280761387,0.00010543,1,0,0,1,0,0,0.640809444,0,0,0.169064748,0.277185501,44,1,2,1,0.126009353
1276,0,2,1,6/29/93,22,0,9,0,0,0.157894737,0.280761387,0.00010543,1,0,0,9,0.157894737,0,0.34148398,0,0,0.68705036,0.710021322,78,0,0,0,0.620742862
5774,0,3,1,7/23/80,35,0,4,0,0.117647059,0.078947368,0.281441196,0.00010543,1,0,0,1,0.078947368,0.001067236,0.774873524,0,0,0.255395683,0.526652452,65,1,1,1,0.002718348
3914,0,6,2,9/13/82,33,0,1,0,0,0,0.280761387,0.00010543,0,0,0,1,0,0,0.641652614,0,0,0.278776978,0.279317697,67,0,1,1,0.661372699
4145,0,2,5,11/26/89,26,0,2,0,0,0,0.280761387,0.00010543,1,0,0,3,0,0.001067236,0.877740304,0,0,0.413669065,0.388059701,74,0,0,0,0.532272416
